time/s	Ewe/V	<I>/mA	cycle number	
5.596099858630623E+000	-3.9563549E-001	4.631430306828652E-004	1.000000000000000E+000
5.626899857852550E+000	-3.9254189E-001	3.273425975661982E-004	1.000000000000000E+000
5.657699857074476E+000	-3.8945559E-001	5.189503378496799E-004	1.000000000000000E+000
5.688499856296403E+000	-3.8642699E-001	4.678355165693912E-004	1.000000000000000E+000
5.719299855518329E+000	-3.8329697E-001	5.906966032461613E-004	1.000000000000000E+000
5.750099854740256E+000	-3.8028586E-001	6.360360556577922E-004	1.000000000000000E+000
5.780899853962183E+000	-3.7711081E-001	5.837506010324710E-004	1.000000000000000E+000
5.811699853184109E+000	-3.7408191E-001	7.611570901657986E-004	1.000000000000000E+000
5.842499852406036E+000	-3.7100926E-001	6.827739355649014E-004	1.000000000000000E+000
5.873299851627962E+000	-3.6794862E-001	8.102739122620743E-004	1.000000000000000E+000
5.904099850849889E+000	-3.6484522E-001	7.482386391246668E-004	1.000000000000000E+000
5.934899850071815E+000	-3.6173633E-001	8.689809190307873E-004	1.000000000000000E+000
5.965699849293742E+000	-3.5870701E-001	8.034782757980023E-004	1.000000000000000E+000
5.996499848515668E+000	-3.5557726E-001	9.138167148476303E-004	1.000000000000000E+000
6.027299847737595E+000	-3.5260981E-001	8.166377484202288E-004	1.000000000000000E+000
6.058099846959522E+000	-3.4945619E-001	9.658162022067355E-004	1.000000000000000E+000
6.088899846181448E+000	-3.4637791E-001	9.135223636894535E-004	1.000000000000000E+000
6.119699845403375E+000	-3.4328166E-001	9.594404117727771E-004	1.000000000000000E+000
6.150499844625301E+000	-3.4021187E-001	1.022907073278860E-003	1.000000000000000E+000
6.181299843847228E+000	-3.3714944E-001	9.659098026978681E-004	1.000000000000000E+000
6.212099843069154E+000	-3.3406588E-001	1.039575081838202E-003	1.000000000000000E+000
6.242999842288555E+000	-3.3095986E-001	9.997490690927388E-004	1.000000000000000E+000
6.273799841510481E+000	-3.2790866E-001	1.131328335915050E-003	1.000000000000000E+000
6.304599840732408E+000	-3.2480448E-001	9.999454677075744E-004	1.000000000000000E+000
6.335399839954334E+000	-3.2175598E-001	1.162476202417953E-003	1.000000000000000E+000
